variant,gene,type,level of evidence,chemicals,phenotypes,Entry,Entry name,Protein names,Gene names,Protein families,Gene names  (primary ),rsID,gnomAD_AF,consequence,SequenceNumber,naa,oaa
rs1042714,ADRB2,Toxicity,3,"atenolol,metoprolol",Hypertension,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042714,0.323,stop_gained,,,
rs1042714,ADRB2,Efficacy,3,"atenolol,metoprolol",Tachycardia,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042714,0.323,stop_gained,,,
rs1042718,ADRB2,Toxicity,3,"fentanyl,propofol,remifentanil,sevoflurane",Hypotension,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042718,0.225,missense,175.0,W,R
rs1042718,ADRB2,Other,3,fentanyl,,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1042718,0.225,missense,175.0,W,R
rs1800888,ADRB2,Other,3,salbutamol,,P07550,ADRB2_HUMAN,Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor),ADRB2 ADRB2R B2AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily",ADRB2,rs1800888,0.009,"['missense', 'regulatory']",164.0,I,T
rs6275,DRD2,Dosage,3,methadone,Heroin Dependence,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6275,0.416,"['synonymous', 'downstream']",,,
rs6275,DRD2,Other,3,"Analgesics,Antiinflammatory agents, non-steroids,Ergot alkaloids,opioids,sumatriptan",,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6275,0.416,"['synonymous', 'downstream']",,,
rs6275,DRD2,Other,3,olanzapine,"Bipolar Disorder,Depression",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6275,0.416,"['synonymous', 'downstream']",,,
rs1799978,DRD2,Toxicity,3,risperidone,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799978,0.092,"['regulatory', 'upstream']",,,
rs1799978,DRD2,Efficacy,3,"olanzapine,risperidone",Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799978,0.092,"['regulatory', 'upstream']",,,
rs1799978,DRD2,Dosage,3,methadone,Heroin Dependence,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799978,0.092,"['regulatory', 'upstream']",,,
rs1799978,DRD2,Efficacy,4,risperidone,Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799978,0.092,"['regulatory', 'upstream']",,,
rs1079598,DRD2,Toxicity,3,"antipsychotics,clozapine,olanzapine",Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1079598,0.157,intron_variant,,,
rs2283265,DRD2,Dosage,3,methadone,"Heroin Dependence,Opioid-Related Disorders",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2283265,0.156,intron_variant,,,
rs2283265,DRD2,Efficacy,3,disulfiram,Cocaine-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2283265,0.156,intron_variant,,,
rs2283265,DRD2,Toxicity,3,cocaine,Cocaine-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2283265,0.156,intron_variant,,,
rs2283265,DRD2,Efficacy,3,rasagiline,Parkinson Disease,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2283265,0.156,intron_variant,,,
rs2283265,DRD2,Toxicity,3,methylphenidate,Attention Deficit Disorder with Hyperactivity,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2283265,0.156,intron_variant,,,
rs6277,DRD2,Toxicity,3,"antipsychotics,clozapine,olanzapine",Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6277,0.377,"['synonymous', 'downstream']",,,
rs6277,DRD2,Efficacy,3,aripiprazole,Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6277,0.377,"['synonymous', 'downstream']",,,
rs6277,DRD2,Efficacy,3,nicotine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6277,0.377,"['synonymous', 'downstream']",,,
rs6277,DRD2,Efficacy,4,methadone,Substance-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6277,0.377,"['synonymous', 'downstream']",,,
rs2440390,DRD2,Toxicity,3,olanzapine,Mental Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2440390,0.135,"['downstream', 'intron']",,,
rs1124493,DRD2,Other,3,olanzapine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1124493,0.418,"['non_coding_exon,nc', 'intron']",,,
rs2734833,DRD2,Efficacy,3,Selective serotonin reuptake inhibitors,"Depressive Disorder, Major",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2734833,0.464,intron,,,
rs2734841,DRD2,Toxicity,3,olanzapine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2734841,0.3914379999999999,"['intron', 'intron,nc']",,,
rs2734842,DRD2,Toxicity,3,olanzapine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2734842,0.465,"['downstream', 'intron,nc']",,,
rs4436578,DRD2,Toxicity,3,"clozapine,olanzapine,risperidone",Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs4436578,0.27,intron_variant,,,
rs1076560,DRD2,Efficacy,3,olanzapine,Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1076560,0.158,intron_variant,,,
rs1076560,DRD2,Efficacy,3,rasagiline,Parkinson Disease,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1076560,0.158,intron_variant,,,
rs1076560,DRD2,Other,3,opioids,"Heroin Dependence,Opioid-Related Disorders",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1076560,0.158,intron_variant,,,
rs1076560,DRD2,Toxicity,3,cocaine,Cocaine-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1076560,0.158,intron_variant,,,
rs1079597,DRD2,Efficacy,3,amisulpride,Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1079597,0.178,intron,,,
rs1079597,DRD2,Efficacy,3,prochlorperazine,Nausea,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1079597,0.178,intron,,,
rs1799732,DRD2,Efficacy,3,bupropion,Tobacco Use Disorder,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs1799732,DRD2,Efficacy,3,nicotine,Tobacco Use Disorder,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs1799732,DRD2,Toxicity,3,antipsychotics,Psychotic Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs1799732,DRD2,Toxicity,3,levodopa,Parkinson Disease,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs1799732,DRD2,Efficacy,3,"antipsychotics,aripiprazole,bromperidol,chlorpromazine,clozapine,nemonapride,olanzapine,risperidone",Schizophrenia,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs1799732,DRD2,Toxicity,3,ethanol,Alcoholism,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1799732,0.21,upstream_transcript_variant,,,
rs12364283,DRD2,Other,3,amphetamine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs12364283,0.057,upstream,,,
rs12364283,DRD2,Toxicity,3,heroin,Heroin Dependence,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs12364283,0.057,upstream,,,
rs1125394,DRD2,Other,3,cocaine,Cocaine-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1125394,0.185,intron,,,
rs1125394,DRD2,Toxicity,3,opioids,Opioid-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1125394,0.185,intron,,,
rs6279,DRD2,Other,3,olanzapine,"Bipolar Disorder,Depression",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs6279,0.418,"['3_prime_UTR', 'intron,nc']",,,
rs4460839,DRD2,Efficacy,3,Selective serotonin reuptake inhibitors,"Depressive Disorder, Major",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs4460839,0.227,intron_variant,,,
rs1124491,DRD2,Toxicity,3,antipsychotics,Psychotic Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1124491,0.153537,intron_variant,,,
rs1800497,DRD2,Toxicity,3,ethanol,"Alcoholism,Death",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1800497,0.257,missense,713.0,K,E
rs1800497,DRD2,Toxicity,3,ethanol,"Alcoholism,Substance-Related Disorders",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1800497,0.257,missense,713.0,K,E
rs1800497,DRD2,Toxicity,3,nicotine,Tobacco Use Disorder,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1800497,0.257,missense,713.0,K,E
rs1800497,DRD2,Dosage,3,ethanol,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1800497,0.257,missense,713.0,K,E
rs1800497,DRD2,Toxicity,3,nicotine,,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1800497,0.257,missense,713.0,K,E
rs2514218,DRD2,Efficacy,3,"aripiprazole,risperidone","Psychotic Disorders,schizoaffective disorder,Schizophrenia",P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2514218,0.265,intergenic,,,
rs2514218,DRD2,Toxicity,3,aripiprazole,Psychomotor Agitation,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs2514218,0.265,intergenic,,,
rs1079596,DRD2,Toxicity,3,opioids,Opioid-Related Disorders,P14416,DRD2_HUMAN,D(2) dopamine receptor (Dopamine D2 receptor),DRD2,G-protein coupled receptor 1 family,DRD2,rs1079596,0.194224,intron_variant,,,
rs6280,DRD3,Efficacy,3,clozapine,Schizophrenia,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,risperidone,Autistic Disorder,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,pramipexole,Parkinson Disease,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,olanzapine,Schizophrenia,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,paroxetine,"Depressive Disorder, Major",P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,methylphenidate,Autism Spectrum Disorder,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Metabolism/PK,3,quetiapine,,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Toxicity,3,methamphetamine,HIV Infections,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Toxicity,3,levodopa,Parkinson Disease,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Efficacy,3,risperidone,Schizophrenia,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Toxicity,3,levodopa,"Hallucinations,Parkinson Disease",P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs6280,DRD3,Toxicity,3,opioids,Opioid-Related Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs6280,0.461,missense,9.0,S,G
rs167771,DRD3,Toxicity,3,risperidone,"Bipolar Disorder,Schizophrenia",P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs167771,0.359,intron_variant,,,
rs963468,DRD3,Efficacy,3,duloxetine,Anxiety Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs963468,0.299,"['regulatory', 'intron']",,,
rs324026,DRD3,Efficacy,3,duloxetine,Anxiety Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs324026,0.461,intron,,,
rs324023,DRD3,Efficacy,3,duloxetine,Anxiety Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs324023,0.431,intron,,,
rs167770,DRD3,Efficacy,3,duloxetine,Anxiety Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs167770,0.397,intron_variant,,,
rs2654754,DRD3,Toxicity,3,opioids,Opioid-Related Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs2654754,0.118,intron,,,
rs9288993,DRD3,Toxicity,3,opioids,Opioid-Related Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs9288993,0.078,intron,,,
rs324029,DRD3,Toxicity,3,opioids,Opioid-Related Disorders,P35462,DRD3_HUMAN,D(3) dopamine receptor (Dopamine D3 receptor),DRD3,G-protein coupled receptor 1 family,DRD3,rs324029,0.41,intron,,,
rs11209716,PTGER3,Toxicity,3,"Ace Inhibitors, Plain","Cough,Hypertension",P43115,PE2R3_HUMAN,Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor),PTGER3,G-protein coupled receptor 1 family,PTGER3,rs11209716,0.367,intron,,,
rs7551789,PTGER3,Toxicity,3,aspirin,Asthma,P43115,PE2R3_HUMAN,Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor),PTGER3,G-protein coupled receptor 1 family,PTGER3,rs7551789,0.091,"['upstream', 'intron,nc']",,,
rs1801253,ADRB1,Efficacy,3,metoprolol,Hypertension,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1 ADRB1R B1AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily",ADRB1,rs1801253,0.308,missense,389.0,R,G
rs1801253,ADRB1,Toxicity,3,muraglitazar,"Diabetes Mellitus,Edema,Hyperlipidemias",P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1 ADRB1R B1AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily",ADRB1,rs1801253,0.308,missense,389.0,R,G
rs1801253,ADRB1,Efficacy,3,dobutamine,,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1 ADRB1R B1AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily",ADRB1,rs1801253,0.308,missense,389.0,R,G
rs1801253,ADRB1,Dosage,3,catecholamines,Coronary Artery Disease,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1 ADRB1R B1AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily",ADRB1,rs1801253,0.308,missense,389.0,R,G
rs1801253,ADRB1,Efficacy,3,metoprolol,,P08588,ADRB1_HUMAN,Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor),ADRB1 ADRB1R B1AR,"G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB1 sub-subfamily",ADRB1,rs1801253,0.308,missense,389.0,R,G
