pdb_code,protein,family,species,preferred_chain,resolution,publication_date,type,state,distance,publication,ligands,signalling_protein
7MTS,grm2_human,004_002_002_002,Homo sapiens,A,3.2,2021-07-07,Electron microscopy,Active,6.79,https://dx.doi.org/10.1038/S41586-021-03680-3,"[{'name': 'Glutamic acid', 'type': 'amino acid', 'function': 'Agonist'}, {'name': '2-methoxy-6-propyl-N-(2-{4-[(1H-tetrazol-5-yl)methoxy]phenyl}ethyl)thieno[2,3-d]pyrimidin-4-amine', 'type': 'small molecule', 'function': 'Ago-PAM'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'C'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'D'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'E'}}}"
2VT4,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,2.7,2008-06-24,X-ray diffraction,Inactive,-1.55,https://dx.doi.org/10.1038/NATURE07101,"[{'name': '(S)-Cyanopindolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
6K42,ada2b_human,001_001_003_005,Homo sapiens,R,4.1,2020-04-15,Electron microscopy,Active,9.98,https://dx.doi.org/10.1038/S41589-020-0492-2,"[{'name': 'Dexmedetomidine', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_mouse', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
4Z9G,crfr1_human,002_001_002_001,Homo sapiens,A,3.18,2016-06-29,X-ray diffraction,Inactive,-0.98,https://dx.doi.org/10.2174/1874467210666170110114727,"[{'name': 'CP-376395', 'type': 'small molecule', 'function': 'Antagonist'}]",
7KNT,calrl_human,002_001_001_005,Homo sapiens,R,3.15,2021-02-24,Electron microscopy,Inactive,-4.18,https://dx.doi.org/10.1126/SCIENCE.ABF7258,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
7BVQ,adrb1_human,001_001_003_007,Homo sapiens,A,2.5,2020-12-02,X-ray diffraction,Inactive,0.0,https://dx.doi.org/10.1038/S41422-020-00424-2,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
3REY,aa2ar_human,001_006_001_002,Homo sapiens,A,3.31,2011-09-07,X-ray diffraction,Inactive,-0.38,https://dx.doi.org/10.1016/J.STR.2011.06.014,"[{'name': 'Xanthine amine congener', 'type': 'small molecule', 'function': 'Antagonist'}]",
7C7Q,gabr2_human,004_002_001_003,Homo sapiens,B,3.0,2020-07-01,Electron microscopy,Active,2.29,https://dx.doi.org/10.1038/S41422-020-0350-5,"[{'name': 'BHFF', 'type': 'small molecule', 'function': 'PAM'}, {'name': 'Baclofen', 'type': 'small molecule', 'function': 'Agonist'}]",
6LPJ,aa2ar_human,001_006_001_002,Homo sapiens,A,1.8,2020-11-25,X-ray diffraction,Inactive,-0.52,https://dx.doi.org/10.1038/S41598-020-76277-X,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
7KNU,calrl_human,002_001_001_005,Homo sapiens,R,3.49,2021-02-24,Electron microscopy,Inactive,-5.28,https://dx.doi.org/10.1126/SCIENCE.ABF7258,"[{'name': 'Calcitonin gene-related peptide 1', 'type': 'peptide', 'function': 'Agonist'}]",
6KJV,glp1r_human,002_001_003_003,Homo sapiens,B,2.8,2019-11-13,X-ray diffraction,Inactive,-5.04,https://dx.doi.org/10.1107/S2052252519013496,"[{'name': 'PF-06372222', 'type': 'small molecule', 'function': 'NAM'}]",
6IGL,ednrb_human,001_002_007_002,Homo sapiens,A,2.7,2018-11-21,X-ray diffraction,Inactive,0.16,https://dx.doi.org/10.1038/S41467-018-07094-0,"[{'name': 'IRL1620', 'type': 'peptide', 'function': 'Agonist (partial)'}]",
6LPL,aa2ar_human,001_006_001_002,Homo sapiens,A,2.0,2020-11-25,X-ray diffraction,Inactive,-0.54,https://dx.doi.org/10.1038/S41598-020-76277-X,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PS7,aa2ar_human,001_006_001_002,Homo sapiens,A,1.85,2019-11-13,X-ray diffraction,Inactive,-0.64,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': 'ZM241385', 'type': 'small molecule', 'function': 'Antagonist'}]",
4U14,acm3_rat,001_001_002_003,Rattus norvegicus,A,3.57,2014-11-26,X-ray diffraction,Inactive,0.52,https://dx.doi.org/10.1016/J.STR.2014.08.022,"[{'name': 'Tiotropium', 'type': 'small molecule', 'function': 'Antagonist'}]",
6ZDV,aa2ar_human,001_006_001_002,Homo sapiens,A,2.13,2020-09-16,X-ray diffraction,Inactive,-0.71,https://dx.doi.org/10.1002/ANIE.202003788,"[{'name': '2-Methyl-3-(4-methylthiazol-2-yl)-4-oxo-6-propyl-4H-chromen-7-yl acetate', 'type': 'small molecule', 'function': 'Antagonist'}]",
6RZ9,cltr2_human,001_004_002_004,Homo sapiens,A,2.73,2019-12-11,X-ray diffraction,Intermediate,5.09,https://dx.doi.org/10.1038/S41467-019-13348-2,"[{'name': 'ONO-2770372', 'type': 'small molecule', 'function': 'Antagonist'}]",
7CZ5,ghrhr_human,002_001_003_001,Homo sapiens,R,2.6,2020-11-18,Electron microscopy,Active,5.93,https://dx.doi.org/10.1038/S41467-020-18945-0,"[{'name': 'Somatoliberin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
6NBI,pth1r_human,002_001_004_001,Homo sapiens,R,4.0,2019-04-17,Electron microscopy,Active,6.61,https://dx.doi.org/10.1126/SCIENCE.AAV7942,"[{'name': 'Long-acting parathyroid hormone analog', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_bovin', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
2YCY,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,3.15,2011-06-08,X-ray diffraction,Inactive,-1.62,https://dx.doi.org/10.1073/PNAS.1100185108,"[{'name': '(S)-Cyanopindolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
2Y01,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.6,2011-03-30,X-ray diffraction,Inactive,-1.07,https://dx.doi.org/10.1038/NATURE09746,"[{'name': 'Dobutamine', 'type': 'N/A', 'function': 'Agonist (partial)'}]",
3UON,acm2_human,001_001_002_002,Homo sapiens,A,3.0,2012-02-01,X-ray diffraction,Inactive,-1.5,https://dx.doi.org/10.1038/NATURE10753,"[{'name': 'QNB', 'type': 'small molecule', 'function': 'Antagonist'}]",
5XEZ,glr_human,002_001_003_005,Homo sapiens,B,3.0,2017-05-24,X-ray diffraction,Inactive,-4.53,https://dx.doi.org/10.1038/NATURE22363,"[{'name': 'NNC0640', 'type': 'small molecule', 'function': 'NAM'}]",
2Y00,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,2.5,2011-01-12,X-ray diffraction,Inactive,-1.22,https://dx.doi.org/10.1038/NATURE09746,"[{'name': 'Dobutamine', 'type': 'N/A', 'function': 'Agonist (partial)'}]",
4K5Y,crfr1_human,002_001_002_001,Homo sapiens,C,2.98,2013-07-17,X-ray diffraction,Inactive,-2.02,https://dx.doi.org/10.1038/NATURE12357,"[{'name': 'CP-376395', 'type': 'small molecule', 'function': 'Antagonist'}]",
2Y02,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,2.6,2011-01-12,X-ray diffraction,Inactive,-1.15,https://dx.doi.org/10.1038/NATURE09746,"[{'name': 'Carmoterol', 'type': 'small molecule', 'function': 'Agonist'}]",
5IU8,aa2ar_human,001_006_001_002,Homo sapiens,A,2.0,2016-06-29,X-ray diffraction,Inactive,-0.82,https://dx.doi.org/10.1021/ACS.JMEDCHEM.6B00653,"[{'name': 'Q27456347', 'type': 'small molecule', 'function': 'Antagonist'}]",
2RH1,adrb2_human,001_001_003_008,Homo sapiens,A,2.4,2007-10-30,X-ray diffraction,Inactive,-0.82,https://dx.doi.org/10.1126/SCIENCE.1150577,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
5N2R,aa2ar_human,001_006_001_002,Homo sapiens,A,2.8,2017-07-26,X-ray diffraction,Inactive,-0.73,https://dx.doi.org/10.1016/J.STR.2017.06.012,"[{'name': 'PSB36', 'type': 'small molecule', 'function': 'Antagonist'}]",
6PS3,adrb2_human,001_001_003_008,Homo sapiens,A,2.5,2019-11-13,X-ray diffraction,Inactive,-1.13,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': '(S)-Carvedilol', 'type': 'small molecule', 'function': 'Antagonist'}]",
6WGT,5ht2a_human,001_001_001_006,Homo sapiens,B,3.4,2020-09-23,X-ray diffraction,Inactive,-1.31,https://dx.doi.org/10.1016/J.CELL.2020.08.024,"[{'name': 'Lysergide', 'type': 'small molecule', 'function': 'Agonist'}]",
5OLZ,aa2ar_human,001_006_001_002,Homo sapiens,A,1.9,2018-01-17,X-ray diffraction,Inactive,-0.75,https://dx.doi.org/10.1038/S41598-017-18570-W,"[{'name': '4-(3-amino-5-phenyl-1,2,4-triazin-6-yl)-2-chlorophenol', 'type': 'small molecule', 'function': 'Antagonist'}]",
5TGZ,cnr1_human,001_004_005_001,Homo sapiens,A,2.8,2016-11-02,X-ray diffraction,Inactive,-0.85,https://dx.doi.org/10.1016/J.CELL.2016.10.004,"[{'name': 'AM-6538', 'type': 'small molecule', 'function': 'Antagonist'}]",
7CRH,drd1_human,001_001_004_001,Homo sapiens,R,3.3,2021-03-03,Electron microscopy,Active,9.15,https://dx.doi.org/10.1016/J.CELL.2021.01.028,"[{'name': '1H-3-Benzazepine-7,8-diol, 6-chloro-2,3,4,5-tetrahydro-3-methyl-1-(3-methylphenyl)-, (1S)-', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6OMM,fpr2_human,001_002_008_002,Homo sapiens,R,3.17,2020-02-26,Electron microscopy,Active,8.96,https://dx.doi.org/10.1038/S41467-020-14728-9,"[{'name': 'WKYMVX', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
7D77,agrg3_human,003_001_008_003,Homo sapiens,R,2.9,2021-02-03,Electron microscopy,Active,6.36,https://dx.doi.org/10.1038/S41586-020-03083-W,"[{'name': 'Hydrocortisone', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnao_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6VN7,vipr1_human,002_001_005_002,Homo sapiens,R,3.2,2020-09-02,Electron microscopy,Active,5.56,https://dx.doi.org/10.1038/S41467-020-17933-8,"[{'name': 'PACAP', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7CX3,pe2r2_human,001_004_008_004,Homo sapiens,R,2.8,2021-05-05,Electron microscopy,Active,6.99,https://dx.doi.org/10.1126/SCIADV.ABF1268,"[{'name': 'Taprenepag', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
5DGY,opsd_human,001_009_001_001,Homo sapiens,A,7.7,2016-03-23,X-ray diffraction,Active,8.61,https://dx.doi.org/10.1038/SDATA.2016.21,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]","{'type': 'Arrestin', 'data': {'entity1': {'entry_name': 'arrs_mouse', 'chain': 'A'}}}"
4BWB,ntr1_rat,001_002_021_001,Rattus norvegicus,A,3.57,2014-01-29,X-ray diffraction,Inactive,1.53,https://dx.doi.org/10.1073/PNAS.1317903111,"[{'name': 'neurotensin', 'type': 'peptide', 'function': 'Agonist'}]",
6NBF,pth1r_human,002_001_004_001,Homo sapiens,R,3.0,2019-04-17,Electron microscopy,Active,6.99,https://dx.doi.org/10.1126/SCIENCE.AAV7942,"[{'name': 'Long-acting parathyroid hormone analog', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_bovin', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_rat', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
2YDV,aa2ar_human,001_006_001_002,Homo sapiens,A,2.6,2011-05-18,X-ray diffraction,Active,6.21,https://dx.doi.org/10.1038/NATURE10136,"[{'name': 'NECA', 'type': 'small molecule', 'function': 'Agonist'}]",
3QAK,aa2ar_human,001_006_001_002,Homo sapiens,A,2.71,2011-03-09,X-ray diffraction,Active,6.12,https://dx.doi.org/10.1126/SCIENCE.1202793,"[{'name': 'UK-432097', 'type': 'small molecule', 'function': 'Agonist'}]",
6KK7,glp1r_human,002_001_003_003,Homo sapiens,B,3.1,2019-11-13,X-ray diffraction,Inactive,-4.95,https://dx.doi.org/10.1107/S2052252519013496,"[{'name': 'PF-06372222', 'type': 'small molecule', 'function': 'NAM'}]",
6UUS,calrl_human,002_001_001_005,Homo sapiens,R,2.4,2020-04-01,Electron microscopy,Active,6.65,https://dx.doi.org/10.1021/ACSPTSCI.9B00080,"[{'name': 'adrenomedullin', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6XBL,smo_human,006_001_001_011,Homo sapiens,R,3.9,2020-09-30,Electron microscopy,Active,5.69,https://dx.doi.org/10.1038/S41589-020-0646-2,"[{'name': 'SAG', 'type': 'small molecule', 'function': 'PAM'}, {'name': 'Cholesterol', 'type': 'N/A', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
7E9H,grm4_human,004_002_002_004,Homo sapiens,R,4.0,2021-06-23,Electron microscopy,Active,6.65,https://dx.doi.org/10.1038/S41586-021-03495-2,"[{'name': 'Phosphoserine', 'type': 'small molecule', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai3_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'C'}}}"
6XBM,smo_human,006_001_001_011,Homo sapiens,R,3.15,2020-09-30,Electron microscopy,Active,5.7,https://dx.doi.org/10.1038/S41589-020-0646-2,"[{'name': '24,25-Epoxy-cholesterol', 'type': 'small molecule', 'function': 'Agonist'}, {'name': '24,25-Epoxy-cholesterol', 'type': 'small molecule', 'function': 'PAM'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnai1_human', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_human', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_human', 'chain': 'G'}}}"
6KNM,apj_human,001_002_002_001,Homo sapiens,B,3.2,2020-01-29,X-ray diffraction,Inactive,0.11,https://dx.doi.org/10.1126/SCIADV.AAX7379,"[{'name': 'Single domain antibody JN241', 'type': 'protein', 'function': 'Agonist'}]",
7D68,glp2r_human,002_001_003_004,Homo sapiens,R,3.0,2020-12-16,Electron microscopy,Active,6.53,https://dx.doi.org/10.1038/S41422-020-00442-0,"[{'name': 'glucagon', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'G protein', 'data': {'entity1': {'entry_name': 'gnas2_bovin', 'chain': 'A'}, 'entity2': {'entry_name': 'gbb1_bovin', 'chain': 'B'}, 'entity3': {'entry_name': 'gbg2_bovin', 'chain': 'G'}}}"
6HLO,nk1r_human,001_002_029_001,Homo sapiens,A,2.4,2019-01-16,X-ray diffraction,Inactive,0.68,https://dx.doi.org/10.1038/S41467-018-07939-8,"[{'name': 'Aprepitant', 'type': 'small molecule', 'function': 'Antagonist'}]",
6UP7,ntr1_human,001_002_021_001,Homo sapiens,R,4.2,2020-02-26,Electron microscopy,Active,7.96,https://dx.doi.org/10.1038/S41586-020-1953-1,"[{'name': 'ARG-ARG-PRO-TYR-ILE-LEU', 'type': 'peptide', 'function': 'Agonist'}]","{'type': 'Arrestin', 'data': {'entity1': {'entry_name': 'arrb1_human', 'chain': 'B'}}}"
5TVN,5ht2b_human,001_001_001_007,Homo sapiens,A,2.9,2017-02-01,X-ray diffraction,Intermediate,4.46,https://dx.doi.org/10.1016/J.CELL.2016.12.033,"[{'name': 'Lysergide', 'type': 'small molecule', 'function': 'Agonist'}]",
6UO8,gabr2_human,004_002_001_003,Homo sapiens,B,3.63,2020-06-10,Electron microscopy,Active,2.22,https://dx.doi.org/10.1038/S41586-020-2408-4,"[{'name': 'N~4~,N~6~-dicyclopentyl-2-(methylsulfanyl)-5-nitropyrimidine-4,6-diamine', 'type': 'small molecule', 'function': 'PAM'}, {'name': '(R)-(3-aminopropyl)methylphosphinic acid', 'type': 'small molecule', 'function': 'Agonist'}]",
6FFH,grm5_human,004_002_002_005,Homo sapiens,A,2.65,2018-03-07,X-ray diffraction,Inactive,4.08,https://dx.doi.org/10.1021/ACS.JMEDCHEM.7B01722,"[{'name': 'Fenobam', 'type': 'small molecule', 'function': 'NAM'}]",
6D32,q98sw5_xenla,006_001_001_011,Xenopus laevis,A,3.75,2018-05-23,X-ray diffraction,Active,-2.2,https://dx.doi.org/10.1016/J.CELL.2018.04.029,"[{'name': 'Cyclopamine', 'type': 'small molecule', 'function': 'Agonist (partial)'}]",
6BD4,fzd4_human,006_001_001_004,Homo sapiens,A,2.4,2018-08-22,X-ray diffraction,Inactive,-4.31,https://dx.doi.org/10.1038/S41586-018-0447-X,[],
6H7M,adrb1_melga,001_001_003_007,Meleagris gallopavo,A,2.76,2018-10-17,X-ray diffraction,Active,9.3,https://dx.doi.org/10.1126/SCIENCE.AAU5595,"[{'name': 'Salbutamol', 'type': 'small molecule', 'function': 'Agonist'}]",
3UZC,aa2ar_human,001_006_001_002,Homo sapiens,A,3.34,2012-03-21,X-ray diffraction,Inactive,-0.5,https://dx.doi.org/10.1021/JM201376W,"[{'name': '4-(3-amino-5-phenyl-1,2,4-triazin-6-yl)-2-chlorophenol', 'type': 'small molecule', 'function': 'Antagonist'}]",
5GLI,ednrb_human,001_002_007_002,Homo sapiens,A,2.5,2016-09-07,X-ray diffraction,Inactive,-0.38,https://dx.doi.org/10.1038/NATURE19319,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
6PS0,adrb2_human,001_001_003_008,Homo sapiens,A,3.4,2019-11-13,X-ray diffraction,Inactive,-1.4,https://dx.doi.org/10.1107/S2052252519013137,"[{'name': 'Carazolol', 'type': 'small molecule', 'function': 'Antagonist'}]",
5MZP,aa2ar_human,001_006_001_002,Homo sapiens,A,2.1,2017-07-26,X-ray diffraction,Inactive,-0.75,https://dx.doi.org/10.1016/J.STR.2017.06.012,"[{'name': 'Caffeine', 'type': 'small molecule', 'function': 'Antagonist'}]",
6UO9,gabr2_human,004_002_001_003,Homo sapiens,B,4.8,2020-06-10,Electron microscopy,Inactive,3.36,https://dx.doi.org/10.1038/S41586-020-2408-4,"[{'name': '(R)-(3-aminopropyl)methylphosphinic acid', 'type': 'small molecule', 'function': 'Agonist'}]",
6N52,grm5_human,004_002_002_005,Homo sapiens,A,4.0,2019-01-23,Electron microscopy,Inactive,4.14,https://dx.doi.org/10.1038/S41586-019-0881-4,[],
7EPE,grm2_human,004_002_002_002,Homo sapiens,A,2.5,2021-06-23,X-ray diffraction,Inactive,4.98,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': '4-(1-Methylpyrazol-4-yl)-7-[[(2~{S})-2-(trifluoromethyl)morpholin-4-yl]methyl]quinoline-2-carboxamide', 'type': 'small molecule', 'function': 'NAM'}]",
7MT8,opsd_bovin,001_009_001_001,Bos taurus,R,5.8,2021-07-07,Electron microscopy,Active,9.49,https://dx.doi.org/10.1038/S41586-021-03721-X,"[{'name': 'Retinal (all-trans)', 'type': 'small molecule', 'function': 'Agonist'}]",
6VJM,gabr2_human,004_002_001_003,Homo sapiens,B,3.97,2020-06-10,Electron microscopy,Inactive,1.75,https://dx.doi.org/10.1038/S41586-020-2408-4,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
4LDO,adrb2_human,001_001_003_008,Homo sapiens,A,3.2,2013-09-25,X-ray diffraction,Active,9.16,https://dx.doi.org/10.1038/NATURE12572,"[{'name': 'Epinephrine', 'type': 'small molecule', 'function': 'Agonist'}]",
5L7D,smo_human,006_001_001_011,Homo sapiens,B,3.2,2016-07-20,X-ray diffraction,Inactive,-1.98,https://dx.doi.org/10.1038/NATURE18934,[],
5WB2,q80km9_hcmv,001_012_001_001,Human cytomegalovirus,A,3.5,2018-06-13,X-ray diffraction,Active,8.86,https://dx.doi.org/10.7554/ELIFE.35850,"[{'name': 'CX3CL1', 'type': 'peptide', 'function': 'Agonist'}]",
6FJ3,pth1r_human,002_001_004_001,Homo sapiens,A,2.5,2018-11-21,X-ray diffraction,Inactive,-19.28,https://dx.doi.org/10.1038/S41594-018-0151-4,"[{'name': 'ePTH', 'type': 'peptide', 'function': 'Agonist (partial)'}]",
7EPC,grm7_human,004_002_002_007,Homo sapiens,B,4.0,2021-06-23,Electron microscopy,Inactive,3.16,https://dx.doi.org/10.1038/S41586-021-03641-W,"[{'name': 'Apo (no ligand)', 'type': 'none', 'function': 'Apo (no ligand)'}]",
4MQS,acm2_human,001_001_002_002,Homo sapiens,A,3.5,2013-11-27,X-ray diffraction,Active,9.14,https://dx.doi.org/10.1038/NATURE12735,"[{'name': 'Iperoxo', 'type': 'small molecule', 'function': 'Agonist'}]",
6V9S,ox1r_human,001_002_023_001,Homo sapiens,A,3.5,2020-07-15,X-ray diffraction,Inactive,-0.91,https://dx.doi.org/10.1073/PNAS.2002704117,"[{'name': 'JH112', 'type': 'small molecule', 'function': 'Antagonist'}]",
7DTU,casr_human,004_001_001_001,Homo sapiens,A,4.4,2021-03-10,Electron microscopy,Inactive,3.85,https://dx.doi.org/10.1038/S41422-021-00474-0,"[{'name': 'Tryptophan', 'type': 'amino acid', 'function': 'PAM'}]",
4GPO,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,3.5,2013-02-27,X-ray diffraction,Inactive,-1.36,https://dx.doi.org/10.1038/NSMB.2504,[],
4Z34,lpar1_human,001_004_003_001,Homo sapiens,A,3.0,2015-06-03,X-ray diffraction,Inactive,-1.3,https://dx.doi.org/10.1016/J.CELL.2015.06.002,"[{'name': 'ONO-9780307', 'type': 'small molecule', 'function': 'Antagonist'}]",
2Y04,adrb1_melga,001_001_003_007,Meleagris gallopavo,B,3.05,2011-01-12,X-ray diffraction,Inactive,-1.14,https://dx.doi.org/10.1038/NATURE09746,"[{'name': 'Salbutamol', 'type': 'small molecule', 'function': 'Agonist (partial)'}]",
1U19,opsd_bovin,001_009_001_001,Bos taurus,A,2.2,2004-10-12,X-ray diffraction,Inactive,-0.23,https://dx.doi.org/10.1016/J.JMB.2004.07.044,"[{'name': 'Retinal (11-cis)', 'type': 'small molecule', 'function': 'Inverse agonist'}]",
